country,iso2,g_whoregion,year,m_01
Albania,AL,EUR,2020,0
Albania,AL,EUR,2021,17
Albania,AL,EUR,2022,17
Albania,AL,EUR,2023,27
Andorra,AD,EUR,2020,0
Andorra,AD,EUR,2021,0
Andorra,AD,EUR,2022,0
Andorra,AD,EUR,2023,0
Angola,AO,AFR,2020,0
Angola,AO,AFR,2021,0
Angola,AO,AFR,2022,0
Angola,AO,AFR,2023,0
Antigua and Barbuda,AG,AMR,2020,0
Antigua and Barbuda,AG,AMR,2021,0
Antigua and Barbuda,AG,AMR,2022,0
Antigua and Barbuda,AG,AMR,2023,0
Argentina,AR,AMR,2020,1215
Argentina,AR,AMR,2021,926
Argentina,AR,AMR,2022,798
Argentina,AR,AMR,2023,1365
Armenia,AM,EUR,2020,45
Armenia,AM,EUR,2021,20
Armenia,AM,EUR,2022,41
Armenia,AM,EUR,2023,26
Aruba,AW,AMR,2021,0
Aruba,AW,AMR,2022,0